id,max_corsi,corsi_minmax,conditional_correct,conditional_minmax,mental_accuracy,mental_minmax,spatial_arrag_correct,spatial_arrag_minmax,spatial_rel_correct,spatial_rel_minmax,nvc_count,nvc_count_maxscaled,crt_correct,crt_minmax,NFC,NFC_minmax,verbal,verbal_minmax,wason_correct,wason_minmax,jacc
participant_1,7,0.6666666666666666,0.5,0.5,0.45,0.45,0.55,0.55,0.40625,0.40625,0,0.0,0.2857142857142857,0.2857142857142857,3.75,0.4583333333333333,0.25,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
participant_10,7,0.6666666666666666,0.5,0.5,0.45,0.45,0.7,0.7,0.40625,0.40625,5,0.15625,0.5714285714285714,0.5714285714285714,3.5,0.4166666666666667,0.375,0.375,0.5,0.5,0.13671875
participant_100,7,0.6666666666666666,0.5,0.5,0.0,0.0,0.6,0.6,0.40625,0.40625,0,0.0,0.5714285714285714,0.5714285714285714,3.75,0.4583333333333333,0.0,0.0,0.5,0.5,0.26953125
participant_101,6,0.5555555555555556,0.375,0.375,0.15,0.15,0.7,0.7,0.46875,0.46875,3,0.09375,0.7142857142857143,0.7142857142857143,5.0,0.6666666666666666,0.5,0.5,1.0,1.0,0.2604166666666667
participant_102,7,0.6666666666666666,0.5,0.5,0.1,0.1,0.8,0.8,0.3125,0.3125,0,0.0,0.5714285714285714,0.5714285714285714,3.5,0.4166666666666667,0.125,0.125,0.0,0.0,0.2526041666666667
participant_104,6,0.5555555555555556,0.5,0.5,0.1,0.1,0.85,0.85,0.375,0.375,3,0.09375,0.42857142857142855,0.42857142857142855,4.75,0.625,0.625,0.625,0.5,0.5,0.18854166666666666
participant_109,6,0.5555555555555556,0.0,0.0,0.05,0.05,0.45,0.45,0.34375,0.34375,2,0.0625,1.0,1.0,4.5,0.5833333333333334,0.0,0.0,0.5,0.5,0.16197916666666667
participant_11,8,0.7777777777777778,0.5,0.5,0.7058823529411765,0.7058823529411765,0.6,0.6,0.625,0.625,10,0.3125,0.2857142857142857,0.2857142857142857,3.75,0.4583333333333333,0.375,0.375,0.5,0.5,0.26171875
participant_111,7,0.6666666666666666,0.75,0.75,0.25,0.25,0.4,0.4,0.40625,0.40625,0,0.0,0.8571428571428571,0.8571428571428571,4.75,0.625,0.75,0.75,1.0,1.0,0.2786458333333333
participant_113,10,1.0,0.5,0.5,0.05,0.05,0.75,0.75,0.375,0.375,0,0.0,0.8571428571428571,0.8571428571428571,4.5,0.5833333333333334,0.875,0.875,0.5,0.5,0.36796875
participant_12,7,0.6666666666666666,0.5,0.5,0.2,0.2,0.95,0.95,0.78125,0.78125,2,0.0625,0.7142857142857143,0.7142857142857143,3.25,0.375,0.125,0.125,0.5,0.5,0.4125
participant_13,6,0.5555555555555556,0.5,0.5,0.15,0.15,0.6,0.6,0.46875,0.46875,8,0.25,0.14285714285714285,0.14285714285714285,3.5,0.4166666666666667,0.0,0.0,0.5,0.5,0.3619791666666667
participant_15,7,0.6666666666666666,0.5,0.5,0.25,0.25,0.7,0.7,0.25,0.25,0,0.0,0.14285714285714285,0.14285714285714285,2.0,0.16666666666666666,0.125,0.125,0.0,0.0,0.2708333333333333
participant_16,8,0.7777777777777778,0.375,0.375,0.1,0.1,0.85,0.85,0.59375,0.59375,2,0.0625,0.2857142857142857,0.2857142857142857,3.75,0.4583333333333333,0.125,0.125,0.5,0.5,0.6497395833333334
participant_17,8,0.7777777777777778,0.625,0.625,0.15,0.15,0.65,0.65,0.28125,0.28125,5,0.15625,0.14285714285714285,0.14285714285714285,4.0,0.5,0.125,0.125,0.0,0.0,0.20833333333333334
participant_18,8,0.7777777777777778,0.5,0.5,0.6,0.6,0.95,0.95,0.71875,0.71875,3,0.09375,0.8571428571428571,0.8571428571428571,3.75,0.4583333333333333,0.75,0.75,1.0,1.0,0.2877604166666667
participant_19,6,0.5555555555555556,0.5,0.5,0.1,0.1,0.5,0.5,0.40625,0.40625,6,0.1875,0.0,0.0,4.0,0.5,0.25,0.25,0.0,0.0,0.2578125
participant_2,7,0.6666666666666666,0.75,0.75,0.2,0.2,0.6,0.6,0.375,0.375,5,0.15625,0.14285714285714285,0.14285714285714285,4.0,0.5,0.125,0.125,0.5,0.5,0.15833333333333333
participant_20,6,0.5555555555555556,0.75,0.75,0.1,0.1,0.6,0.6,0.53125,0.53125,14,0.4375,0.14285714285714285,0.14285714285714285,3.25,0.375,0.25,0.25,0.5,0.5,0.3255208333333333
participant_21,10,1.0,0.5,0.5,0.5,0.5,0.7,0.7,0.75,0.75,5,0.15625,0.5714285714285714,0.5714285714285714,3.25,0.375,0.375,0.375,0.3333333333333333,0.3333333333333333,0.35546875
participant_22,7,0.6666666666666666,0.625,0.625,0.45,0.45,0.8,0.8,0.53125,0.53125,0,0.0,0.5714285714285714,0.5714285714285714,3.0,0.3333333333333333,0.125,0.125,0.3333333333333333,0.3333333333333333,0.1640625
participant_23,7,0.6666666666666666,0.875,0.875,0.1,0.1,0.65,0.65,0.78125,0.78125,3,0.09375,0.2857142857142857,0.2857142857142857,4.0,0.5,0.125,0.125,0.5,0.5,0.55859375
participant_24,8,0.7777777777777778,0.875,0.875,0.7777777777777778,0.7777777777777778,0.9,0.9,0.90625,0.90625,4,0.125,0.7142857142857143,0.7142857142857143,3.5,0.4166666666666667,1.0,1.0,0.6666666666666666,0.6666666666666666,0.7356770833333334
participant_25,7,0.6666666666666666,0.875,0.875,0.5,0.5,0.8,0.8,0.90625,0.90625,4,0.125,0.7142857142857143,0.7142857142857143,3.25,0.375,0.375,0.375,0.3333333333333333,0.3333333333333333,0.3997395833333333
participant_26,9,0.8888888888888888,0.625,0.625,0.2,0.2,0.75,0.75,0.78125,0.78125,3,0.09375,0.14285714285714285,0.14285714285714285,2.0,0.16666666666666666,0.625,0.625,0.5,0.5,0.13463541666666667
participant_27,9,0.8888888888888888,0.5,0.5,0.35,0.35,0.8,0.8,0.5625,0.5625,2,0.0625,0.0,0.0,3.25,0.375,0.5,0.5,0.5,0.5,0.2708333333333333
participant_28,9,0.8888888888888888,0.625,0.625,0.5555555555555556,0.5555555555555556,0.8,0.8,0.8125,0.8125,5,0.15625,0.8571428571428571,0.8571428571428571,4.75,0.625,0.375,0.375,0.5,0.5,0.5703125
participant_29,7,0.6666666666666666,0.625,0.625,0.6,0.6,0.65,0.65,0.5625,0.5625,0,0.0,0.5714285714285714,0.5714285714285714,3.25,0.375,0.375,0.375,0.3333333333333333,0.3333333333333333,0.49609375
participant_3,7,0.6666666666666666,0.5,0.5,0.2,0.2,0.5,0.5,0.4375,0.4375,0,0.0,0.5714285714285714,0.5714285714285714,3.75,0.4583333333333333,0.375,0.375,0.5,0.5,0.057291666666666664
participant_30,7,0.6666666666666666,0.5,0.5,0.25,0.25,0.85,0.85,0.5,0.5,0,0.0,0.2857142857142857,0.2857142857142857,6.0,0.8333333333333334,0.375,0.375,0.5,0.5,0.07421875
participant_31,7,0.6666666666666666,0.75,0.75,0.05,0.05,0.65,0.65,0.65625,0.65625,1,0.03125,0.7142857142857143,0.7142857142857143,5.0,0.6666666666666666,0.375,0.375,0.5,0.5,0.5494791666666666
participant_32,9,0.8888888888888888,0.625,0.625,0.25,0.25,0.95,0.95,0.59375,0.59375,0,0.0,0.7142857142857143,0.7142857142857143,3.75,0.4583333333333333,0.125,0.125,0.3333333333333333,0.3333333333333333,0.11067708333333333
participant_33,7,0.6666666666666666,0.75,0.75,0.7,0.7,0.8,0.8,0.71875,0.71875,4,0.125,0.8571428571428571,0.8571428571428571,4.25,0.5416666666666666,0.375,0.375,0.5,0.5,0.6770833333333334
participant_34,9,0.8888888888888888,0.5,0.5,0.3,0.3,0.7,0.7,0.6875,0.6875,4,0.125,0.2857142857142857,0.2857142857142857,2.75,0.2916666666666667,0.375,0.375,0.3333333333333333,0.3333333333333333,0.11197916666666667
participant_35,8,0.7777777777777778,0.25,0.25,0.7222222222222222,0.7222222222222222,0.75,0.75,0.90625,0.90625,6,0.1875,0.14285714285714285,0.14285714285714285,3.0,0.3333333333333333,0.5,0.5,0.5,0.5,0.5221354166666666
participant_36,8,0.7777777777777778,0.5,0.5,0.15,0.15,0.75,0.75,0.40625,0.40625,7,0.21875,0.2857142857142857,0.2857142857142857,4.25,0.5416666666666666,0.125,0.125,0.5,0.5,0.3255208333333333
participant_37,8,0.7777777777777778,0.875,0.875,0.4,0.4,0.8,0.8,0.8125,0.8125,5,0.15625,0.42857142857142855,0.42857142857142855,4.25,0.5416666666666666,0.5,0.5,0.5,0.5,0.5026041666666666
participant_38,6,0.5555555555555556,0.375,0.375,0.25,0.25,0.85,0.85,0.78125,0.78125,6,0.1875,0.14285714285714285,0.14285714285714285,3.75,0.4583333333333333,0.625,0.625,0.3333333333333333,0.3333333333333333,0.4739583333333333
participant_39,7,0.6666666666666666,0.375,0.375,0.25,0.25,0.65,0.65,0.5625,0.5625,0,0.0,1.0,1.0,5.0,0.6666666666666666,0.25,0.25,0.3333333333333333,0.3333333333333333,0.12630208333333334
participant_4,6,0.5555555555555556,0.5,0.5,0.4,0.4,0.35,0.35,0.5,0.5,0,0.0,0.0,0.0,4.0,0.5,0.125,0.125,0.5,0.5,0.13802083333333334
participant_40,7,0.6666666666666666,0.625,0.625,0.5,0.5,0.8,0.8,0.5,0.5,5,0.15625,0.42857142857142855,0.42857142857142855,3.5,0.4166666666666667,0.25,0.25,0.5,0.5,0.203125
participant_41,7,0.6666666666666666,0.5,0.5,0.15,0.15,0.9,0.9,0.75,0.75,7,0.21875,0.42857142857142855,0.42857142857142855,3.75,0.4583333333333333,0.75,0.75,0.5,0.5,0.5768229166666666
participant_42,7,0.6666666666666666,0.625,0.625,0.35,0.35,0.7,0.7,0.53125,0.53125,1,0.03125,0.5714285714285714,0.5714285714285714,3.5,0.4166666666666667,0.25,0.25,0.0,0.0,0.3216145833333333
participant_43,9,0.8888888888888888,1.0,1.0,0.15,0.15,0.35,0.35,0.71875,0.71875,0,0.0,0.8571428571428571,0.8571428571428571,4.0,0.5,0.875,0.875,0.0,0.0,0.6471354166666666
participant_44,8,0.7777777777777778,0.5,0.5,0.3,0.3,0.55,0.55,0.375,0.375,1,0.03125,0.14285714285714285,0.14285714285714285,3.5,0.4166666666666667,0.125,0.125,0.5,0.5,0.15234375
participant_45,9,0.8888888888888888,0.5,0.5,0.35,0.35,0.8,0.8,0.53125,0.53125,1,0.03125,0.2857142857142857,0.2857142857142857,4.5,0.5833333333333334,0.0,0.0,0.5,0.5,0.17578125
participant_46,8,0.7777777777777778,0.75,0.75,0.7368421052631579,0.7368421052631579,0.85,0.85,0.75,0.75,4,0.125,0.8571428571428571,0.8571428571428571,4.0,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.58984375
participant_47,6,0.5555555555555556,0.375,0.375,0.45,0.45,0.95,0.95,0.65625,0.65625,10,0.3125,0.7142857142857143,0.7142857142857143,3.75,0.4583333333333333,0.75,0.75,0.5,0.5,0.128125
participant_48,9,0.8888888888888888,0.875,0.875,0.7368421052631579,0.7368421052631579,0.95,0.95,1.0,1.0,16,0.5,0.5714285714285714,0.5714285714285714,3.25,0.375,0.5,0.5,0.3333333333333333,0.3333333333333333,0.515625
participant_5,5,0.4444444444444444,0.25,0.25,0.2,0.2,0.5,0.5,0.34375,0.34375,10,0.3125,0.14285714285714285,0.14285714285714285,4.0,0.5,0.0,0.0,0.0,0.0,0.20052083333333334
participant_50,7,0.6666666666666666,0.5,0.5,0.15,0.15,0.85,0.85,0.5625,0.5625,4,0.125,0.14285714285714285,0.14285714285714285,4.25,0.5416666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.375
participant_52,7,0.6666666666666666,0.5,0.5,0.15,0.15,0.6,0.6,0.4375,0.4375,3,0.09375,0.5714285714285714,0.5714285714285714,4.5,0.5833333333333334,0.5,0.5,0.3333333333333333,0.3333333333333333,0.14348958333333334
participant_53,7,0.6666666666666666,0.875,0.875,0.6666666666666666,0.6666666666666666,0.85,0.85,0.65625,0.65625,4,0.125,0.7142857142857143,0.7142857142857143,4.5,0.5833333333333334,0.75,0.75,0.5,0.5,0.69140625
participant_54,7,0.6666666666666666,0.5,0.5,0.35,0.35,0.75,0.75,0.40625,0.40625,0,0.0,0.8571428571428571,0.8571428571428571,3.75,0.4583333333333333,0.125,0.125,0.5,0.5,0.07421875
participant_56,9,0.8888888888888888,0.375,0.375,0.4,0.4,0.65,0.65,0.40625,0.40625,1,0.03125,0.2857142857142857,0.2857142857142857,5.25,0.7083333333333334,0.875,0.875,0.5,0.5,0.3359375
participant_57,9,0.8888888888888888,0.5,0.5,0.8666666666666667,0.8666666666666667,0.95,0.95,0.625,0.625,4,0.125,0.5714285714285714,0.5714285714285714,3.25,0.375,0.125,0.125,0.0,0.0,0.22786458333333334
participant_58,7,0.6666666666666666,0.5,0.5,0.8,0.8,0.45,0.45,0.5625,0.5625,0,0.0,0.42857142857142855,0.42857142857142855,4.0,0.5,0.75,0.75,0.5,0.5,0.10104166666666667
participant_59,7,0.6666666666666666,0.5,0.5,0.05,0.05,0.75,0.75,0.6875,0.6875,3,0.09375,0.42857142857142855,0.42857142857142855,3.75,0.4583333333333333,0.625,0.625,0.5,0.5,0.3216145833333333
participant_6,9,0.8888888888888888,0.5,0.5,0.7,0.7,0.8,0.8,0.71875,0.71875,7,0.21875,0.7142857142857143,0.7142857142857143,3.0,0.3333333333333333,0.25,0.25,0.5,0.5,0.5989583333333334
participant_60,7,0.6666666666666666,0.375,0.375,0.2,0.2,0.5,0.5,0.25,0.25,10,0.3125,0.5714285714285714,0.5714285714285714,2.5,0.25,0.5,0.5,0.5,0.5,0.14583333333333334
participant_61,7,0.6666666666666666,0.625,0.625,0.3,0.3,0.7,0.7,0.5625,0.5625,3,0.09375,0.14285714285714285,0.14285714285714285,4.25,0.5416666666666666,0.625,0.625,0.0,0.0,0.3932291666666667
participant_62,7,0.6666666666666666,0.625,0.625,0.25,0.25,0.4,0.4,0.46875,0.46875,5,0.15625,0.0,0.0,3.25,0.375,0.125,0.125,0.3333333333333333,0.3333333333333333,0.25
participant_63,2,0.1111111111111111,0.5,0.5,0.35,0.35,0.8,0.8,0.5625,0.5625,1,0.03125,0.2857142857142857,0.2857142857142857,4.25,0.5416666666666666,0.375,0.375,0.5,0.5,0.3776041666666667
participant_64,6,0.5555555555555556,0.625,0.625,0.35,0.35,0.8,0.8,0.59375,0.59375,5,0.15625,0.8571428571428571,0.8571428571428571,3.5,0.4166666666666667,0.625,0.625,0.5,0.5,0.3385416666666667
participant_65,8,0.7777777777777778,0.5,0.5,0.1,0.1,0.7,0.7,0.6875,0.6875,3,0.09375,0.2857142857142857,0.2857142857142857,3.75,0.4583333333333333,0.0,0.0,0.0,0.0,0.10130208333333333
participant_66,8,0.7777777777777778,0.625,0.625,0.15,0.15,0.8,0.8,0.8125,0.8125,3,0.09375,0.42857142857142855,0.42857142857142855,3.75,0.4583333333333333,0.625,0.625,0.6666666666666666,0.6666666666666666,0.20182291666666666
participant_67,9,0.8888888888888888,0.375,0.375,0.35,0.35,0.55,0.55,0.40625,0.40625,9,0.28125,0.42857142857142855,0.42857142857142855,2.5,0.25,0.25,0.25,0.5,0.5,0.31640625
participant_68,7,0.6666666666666666,0.5,0.5,0.3,0.3,0.65,0.65,0.4375,0.4375,4,0.125,0.2857142857142857,0.2857142857142857,3.5,0.4166666666666667,0.125,0.125,0.3333333333333333,0.3333333333333333,0.11380208333333333
participant_69,7,0.6666666666666666,0.5,0.5,0.35,0.35,0.75,0.75,0.46875,0.46875,2,0.0625,0.5714285714285714,0.5714285714285714,5.0,0.6666666666666666,0.25,0.25,0.5,0.5,0.23567708333333334
participant_7,8,0.7777777777777778,0.5,0.5,0.2,0.2,0.65,0.65,0.4375,0.4375,4,0.125,0.14285714285714285,0.14285714285714285,3.25,0.375,0.0,0.0,0.3333333333333333,0.3333333333333333,0.09739583333333333
participant_70,9,0.8888888888888888,0.5,0.5,0.25,0.25,0.6,0.6,0.46875,0.46875,2,0.0625,0.5714285714285714,0.5714285714285714,4.75,0.625,0.125,0.125,0.5,0.5,0.21796875
participant_71,7,0.6666666666666666,0.375,0.375,0.15,0.15,0.7,0.7,0.28125,0.28125,1,0.03125,0.7142857142857143,0.7142857142857143,4.75,0.625,0.0,0.0,0.5,0.5,0.390625
participant_72,7,0.6666666666666666,0.5,0.5,0.0,0.0,0.75,0.75,0.625,0.625,0,0.0,0.14285714285714285,0.14285714285714285,5.0,0.6666666666666666,0.5,0.5,0.5,0.5,0.3455729166666667
participant_73,8,0.7777777777777778,0.375,0.375,0.9473684210526315,0.9473684210526315,0.9,0.9,0.34375,0.34375,0,0.0,0.14285714285714285,0.14285714285714285,5.25,0.7083333333333334,0.125,0.125,0.5,0.5,0.13671875
participant_74,7,0.6666666666666666,0.5,0.5,0.2,0.2,0.55,0.55,0.4166666666666667,0.4166666666666667,4,0.125,0.5714285714285714,0.5714285714285714,4.5,0.5833333333333334,0.0,0.0,0.5,0.5,0.27578125
participant_75,6,0.5555555555555556,0.75,0.75,0.6,0.6,0.65,0.65,0.3125,0.3125,4,0.125,0.5714285714285714,0.5714285714285714,3.5,0.4166666666666667,0.0,0.0,0.5,0.5,0.234375
participant_76,7,0.6666666666666666,0.5,0.5,0.6875,0.6875,0.55,0.55,0.78125,0.78125,15,0.46875,0.5714285714285714,0.5714285714285714,3.25,0.375,0.25,0.25,0.3333333333333333,0.3333333333333333,0.5166666666666666
participant_77,7,0.6666666666666666,0.625,0.625,0.4,0.4,0.8,0.8,0.6875,0.6875,5,0.15625,0.42857142857142855,0.42857142857142855,2.5,0.25,0.625,0.625,0.5,0.5,0.2708333333333333
participant_78,7,0.6666666666666666,0.75,0.75,0.4,0.4,0.65,0.65,0.5,0.5,18,0.5625,0.2857142857142857,0.2857142857142857,5.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.453125
participant_79,8,0.7777777777777778,0.5,0.5,0.2,0.2,0.75,0.75,0.375,0.375,6,0.1875,0.42857142857142855,0.42857142857142855,3.75,0.4583333333333333,0.25,0.25,0.3333333333333333,0.3333333333333333,0.20182291666666666
participant_8,9,0.8888888888888888,0.875,0.875,0.8333333333333334,0.8333333333333334,0.65,0.65,0.65625,0.65625,0,0.0,0.5714285714285714,0.5714285714285714,2.25,0.20833333333333334,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6380208333333334
participant_80,10,1.0,0.5,0.5,0.2,0.2,1.0,1.0,0.5625,0.5625,0,0.0,0.8571428571428571,0.8571428571428571,5.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.13645833333333332
participant_83,7,0.6666666666666666,0.75,0.75,0.4,0.4,0.85,0.85,0.6875,0.6875,0,0.0,0.5714285714285714,0.5714285714285714,4.0,0.5,0.625,0.625,0.3333333333333333,0.3333333333333333,0.4713541666666667
participant_84,9,0.8888888888888888,0.875,0.875,0.7333333333333333,0.7333333333333333,0.9,0.9,0.90625,0.90625,4,0.125,0.8571428571428571,0.8571428571428571,3.25,0.375,0.75,0.75,0.3333333333333333,0.3333333333333333,0.7630208333333334
participant_85,7,0.6666666666666666,0.5,0.5,0.25,0.25,0.9,0.9,0.28125,0.28125,1,0.03125,0.2857142857142857,0.2857142857142857,2.75,0.2916666666666667,0.5,0.5,0.3333333333333333,0.3333333333333333,0.09244791666666667
participant_86,7,0.6666666666666666,0.75,0.75,0.5,0.5,0.7,0.7,0.34375,0.34375,32,1.0,0.7142857142857143,0.7142857142857143,3.25,0.375,0.25,0.25,0.5,0.5,0.5091145833333334
participant_87,7,0.6666666666666666,0.5,0.5,0.375,0.375,0.7,0.7,0.34375,0.34375,0,0.0,0.14285714285714285,0.14285714285714285,3.5,0.4166666666666667,0.0,0.0,0.3333333333333333,0.3333333333333333,0.1171875
participant_88,7,0.6666666666666666,0.625,0.625,0.3,0.3,0.75,0.75,0.59375,0.59375,0,0.0,0.14285714285714285,0.14285714285714285,2.25,0.20833333333333334,0.0,0.0,0.0,0.0,0.06197916666666667
participant_9,7,0.6666666666666666,0.375,0.375,0.7,0.7,0.8,0.8,0.75,0.75,3,0.09375,0.8571428571428571,0.8571428571428571,3.0,0.3333333333333333,0.125,0.125,0.6666666666666666,0.6666666666666666,0.5885416666666666
participant_90,7,0.6666666666666666,0.5,0.5,0.5,0.5,0.9,0.9,0.625,0.625,0,0.0,0.0,0.0,3.5,0.4166666666666667,0.375,0.375,0.3333333333333333,0.3333333333333333,0.08854166666666666
participant_91,4,0.3333333333333333,0.5,0.5,0.15,0.15,0.5,0.5,0.3125,0.3125,4,0.125,0.2857142857142857,0.2857142857142857,4.75,0.625,0.125,0.125,0.0,0.0,0.12760416666666666
participant_92,9,0.8888888888888888,0.5,0.5,0.25,0.25,0.7,0.7,0.4375,0.4375,0,0.0,0.7142857142857143,0.7142857142857143,3.75,0.4583333333333333,0.625,0.625,0.0,0.0,0.21067708333333335
participant_94,7,0.6666666666666666,0.5,0.5,0.95,0.95,0.8,0.8,0.84375,0.84375,9,0.28125,0.8571428571428571,0.8571428571428571,4.5,0.5833333333333334,0.5,0.5,0.5,0.5,0.3645833333333333
participant_96,9,0.8888888888888888,0.5,0.5,0.15,0.15,1.0,1.0,0.53125,0.53125,0,0.0,0.5714285714285714,0.5714285714285714,4.5,0.5833333333333334,0.625,0.625,0.5,0.5,0.57421875
participant_99,6,0.5555555555555556,0.625,0.625,0.25,0.25,0.65,0.65,0.53125,0.53125,4,0.125,0.2857142857142857,0.2857142857142857,3.5,0.4166666666666667,0.875,0.875,0.0,0.0,0.30859375
